Date,Adj Close,Close,High,Low,Open,Volume
06/05/2014,18.63134766,21.22892952,21.58607101,21.22892952,21.49285698,374564400
07/05/2014,18.56616211,21.15464211,21.3317852,20.99035645,21.2589283,282864400
08/05/2014,18.53306007,20.99964333,21.22892952,20.94285774,21.0089283,230297200
09/05/2014,18.45583153,20.91214371,20.9375,20.7260704,20.8764286,291597600
12/05/2014,18.685606,21.17250061,21.20214272,20.97857094,20.98178673,213208800
13/05/2014,18.71492958,21.20571327,21.2335701,21.09642982,21.1428566,159737200
14/05/2014,18.71839333,21.20964241,21.33571434,21.13357162,21.15821457,166404000
15/05/2014,18.55921364,21.02928543,21.30714226,21.0014286,21.23928642,230846000
16/05/2014,18.83312416,21.33964348,21.34035683,20.90714264,21.02249908,276256400
19/05/2014,19.05627823,21.59250069,21.69035721,21.33321381,21.35178566,317755200
20/05/2014,19.06006241,21.5967865,21.65714264,21.45464325,21.58964348,234836000
21/05/2014,19.11048698,21.65392876,21.66785622,21.50214386,21.56535721,196859600
22/05/2014,19.14074898,21.68821335,21.78035736,21.57500076,21.66428566,200760000
23/05/2014,19.35697746,21.93321419,21.95464325,21.65964317,21.6875,232209600
27/05/2014,19.71944618,22.34392929,22.35214233,21.98678589,21.99571419,348866000
28/05/2014,19.66838646,22.28607178,22.49392891,22.27785683,22.35785675,315481600
29/05/2014,20.02676392,22.69214249,22.74535751,22.42035675,22.42321396,376474000
30/05/2014,19.95174599,22.6071434,23.00607109,22.46071434,22.78499985,564020800
02/06/2014,19.81463814,22.45178604,22.67250061,22.2321434,22.6414299,369350800
03/06/2014,20.09484291,22.7692852,22.81214333,22.4375,22.44499969,292709200
04/06/2014,20.32429504,23.02928543,23.13892937,22.71821404,22.76571465,335482000
05/06/2014,20.40404701,23.11964226,23.19178581,22.95035744,23.07857132,303805600
06/06/2014,20.34794044,23.05607033,23.25928688,23.01678658,23.21071434,349938400
09/06/2014,20.67353439,23.42499924,23.46999931,22.9375,23.17499924,301660000
10/06/2014,20.79488945,23.5625,23.76250076,23.39249992,23.68250084,251108000
11/06/2014,20.70884323,23.46500015,23.69000053,23.36750031,23.53249931,182724000
12/06/2014,20.36244202,23.07250023,23.53000069,22.97500038,23.51000023,218996000
13/06/2014,20.13960266,22.81999969,23.11000061,22.71999931,23.04999924,218100000
16/06/2014,20.34258652,23.04999924,23.1875,22.86249924,22.87750053,142244000
17/06/2014,20.31610489,23.02000046,23.17499924,22.95000076,23.07749939,118904000
18/06/2014,20.33817673,23.04500008,23.07250023,22.83749962,23.06749916,134056000
19/06/2014,20.26756859,22.96500015,23.07500076,22.83499908,23.07250023,142112000
20/06/2014,20.05796432,22.72750092,23.13750076,22.72500038,22.96249962,403592000
23/06/2014,20.040308,22.70750046,22.90500069,22.64999962,22.82999992,174776000
24/06/2014,19.91896057,22.56999969,22.93499947,22.54750061,22.6875,156144000
25/06/2014,19.93661499,22.59000015,22.67499924,22.41250038,22.55249977,147476000
26/06/2014,20.05575943,22.72500038,22.76250076,22.45000076,22.59250069,130516000
27/06/2014,20.29404449,22.99500084,23,22.69249916,22.70499992,256116000
30/06/2014,20.50365067,23.23250008,23.43250084,23.02249908,23.02499962,197929200
01/07/2014,20.6338253,23.37999916,23.51749992,23.28249931,23.37999916,152892000
02/07/2014,20.625,23.37000084,23.51499939,23.27249908,23.46750069,113860000
03/07/2014,20.74634361,23.50749969,23.52499962,23.29999924,23.41749954,91567200
07/07/2014,21.17437744,23.99250031,23.99749947,23.52499962,23.53499985,225872000
08/07/2014,21.03758621,23.83749962,24.20000076,23.47999954,24.06749916,260888000
09/07/2014,21.0464077,23.84749985,23.98749924,23.69000053,23.86000061,145744000
10/07/2014,20.96918297,23.76000023,23.88750076,23.37999916,23.44000053,158744000
11/07/2014,21.00890541,23.80500031,23.97249985,23.71500015,23.84000015,136072000
14/07/2014,21.2802906,24.11249924,24.22249985,23.91250038,23.96500015,171240000
15/07/2014,21.03096962,23.82999992,24.21249962,23.75749969,24.20000076,181911600
16/07/2014,20.91182137,23.69499969,24.27499962,23.68499947,24.24250031,213585200
17/07/2014,20.53894997,23.27249908,23.81999969,23.14249992,23.75749969,229192000
18/07/2014,20.83460236,23.60750008,23.68499947,23.25499916,23.40500069,199952000
21/07/2014,20.72649384,23.48500061,23.75,23.43000031,23.74749947,156316000
22/07/2014,20.89858437,23.68000031,23.72249985,23.53000069,23.67000008,220788000
23/07/2014,21.44355392,24.29750061,24.46999931,23.79249954,23.85499954,371672000
24/07/2014,21.40825462,24.25749969,24.32999992,24.10499954,24.26000023,182916000
25/07/2014,21.54945564,24.41749954,24.45999908,24.15999985,24.21249962,173876000
28/07/2014,21.84731865,24.75499916,24.80999947,24.38750076,24.45499992,221272000
29/07/2014,21.70611,24.59499931,24.86000061,24.5625,24.83250046,172572000
30/07/2014,21.65536308,24.53750038,24.67499924,24.41749954,24.61000061,132040000
