Date,GOOGL
2014-04-04,27.132781982421875
2014-04-07,26.90287971496582
2014-04-08,27.74286460876465
2014-04-09,28.21709442138672
2014-04-10,27.204439163208008
2014-04-11,26.76006317138672
2014-04-14,27.130290985107422
2014-04-15,27.304458618164062
2014-04-16,28.060842514038086
2014-04-17,27.03773307800293
2014-04-21,26.840179443359375
2014-04-22,27.145219802856445
2014-04-23,26.74761962890625
2014-04-24,26.594850540161133
2014-04-25,26.030550003051758
2014-04-28,26.02457618713379
2014-04-29,26.688899993896484
2014-04-30,26.61674690246582
2014-05-01,26.798377990722656
2014-05-02,26.566486358642578
2014-05-05,26.63913917541504
2014-05-06,26.004175186157227
2014-05-07,25.776763916015625
2014-05-08,25.884746551513672
2014-05-09,26.20570945739746
2014-05-12,26.793399810791016
