Date,Open,High,Low,Close,Adj Close
2014-06-16,10121.46,10121.46,9949.18,10013.79,4157628
2014-06-17,10013.79,10121.46,9949.18,10099.93,3789950
2014-06-18,10099.93,10121.46,10035.32,10035.32,3655324
2014-06-19,10035.32,10078.39,9733.83,9949.18,4947691
2014-06-20,9949.18,10078.39,9927.65,9949.18,2921784
2014-06-23,9949.18,9949.18,9863.04,9884.58,966642
2014-06-24,9863.04,9970.72,9841.51,9949.18,1459978
2014-06-25,9992.25,10099.93,9970.72,10035.32,2486169
2014-06-26,10035.32,10078.39,9992.25,10013.79,1582478
2014-06-27,9992.25,10207.6,9992.25,10078.39,7024822
2014-06-30,10035.32,10121.46,10035.32,10035.32,2169103
2014-07-01,10035.32,10121.46,10035.32,10056.86,4490048
2014-07-02,10056.86,10121.46,10056.86,10121.46,2942311
2014-07-03,10164.54,10422.96,10164.54,10379.88,6022220
2014-07-04,10444.49,10681.38,10422.96,10659.84,10804061
2014-07-07,10745.98,11090.54,10745.98,10767.52,8210470
2014-07-08,10745.98,10875.19,10659.84,10745.98,3105254
2014-07-09,10767.52,10767.52,10659.84,10702.91,3260121
2014-07-10,10702.91,10702.91,10422.96,10509.1,5862297
2014-07-11,10509.1,10509.1,10379.88,10487.56,3116677
2014-07-14,10487.56,10681.38,10466.03,10638.31,4031512
2014-07-15,10875.19,10982.87,10724.45,10767.52,5180244
2014-07-16,10875.19,10982.87,10745.98,10745.98,5759350
2014-07-17,10724.45,10745.98,10595.24,10638.31,3882129
2014-07-18,10595.24,11305.89,10595.24,11305.89,18506156
2014-07-21,11198.22,11413.57,10875.19,10982.87,7979265
2014-07-22,10982.87,11413.57,10875.19,11198.22,5956424
2014-07-23,11090.54,11305.89,10982.87,11090.54,4879665
2014-07-24,11090.54,11413.57,11090.54,11305.89,7040284
2014-07-25,11305.89,11521.24,11090.54,11090.54,5943289
2014-07-28,10982.87,10982.87,10702.91,10767.52,7778802
2014-07-29,10767.52,10875.19,10659.84,10702.91,4358376
2014-07-30,10702.91,10982.87,10702.91,10745.98,3208482
2014-07-31,10745.98,10875.19,10702.91,10875.19,3276000
2014-08-01,10767.52,10875.19,10702.91,10724.45,3371192
2014-08-04,10745.98,10875.19,10702.91,10767.52,3517462
2014-08-05,10982.87,11198.22,10982.87,11090.54,6654585
2014-08-06,11090.54,11090.54,10875.19,10982.87,4756497
2014-08-07,10982.87,10982.87,10767.52,10875.19,3010382
2014-08-08,10982.87,11090.54,10767.52,10875.19,3430073
2014-08-11,10982.87,10982.87,10767.52,10875.19,2975930
2014-08-12,10875.19,10982.87,10767.52,10875.19,3477400
2014-08-13,10982.87,11090.54,10875.19,11090.54,3914262
2014-08-14,11090.54,11198.22,10982.87,11198.22,6561665
2014-08-15,11090.54,11198.22,10982.87,11090.54,4231403
2014-08-18,11090.54,11413.57,10982.87,11305.89,8057976
2014-08-19,11305.89,11628.92,11305.89,11413.57,14521951
2014-08-20,11305.89,11305.89,11090.54,11198.22,6276553
2014-08-21,11198.22,11305.89,11090.54,11090.54,7630672
2014-08-22,11198.22,11305.89,11090.54,11198.22,8606107
2014-08-25,11305.89,11413.57,11198.22,11305.89,8585022
2014-08-26,11305.89,11951.94,11198.22,11844.27,17524597
2014-08-27,11844.27,12059.62,11628.92,11844.27,13180004
2014-08-28,11844.27,12382.64,11844.27,12274.97,12096788
2014-08-29,12274.97,12382.64,12059.62,12382.64,11787114
2014-09-03,12490.32,12597.99,12167.29,12274.97,8661272
2014-09-04,12167.29,12274.97,12059.62,12274.97,25964754
2014-09-05,12274.97,12490.32,12274.97,12490.32,9407358
2014-09-08,12597.99,12813.34,12490.32,12597.99,12261038
2014-09-09,12597.99,12597.99,11736.59,11951.94,28560625
2014-09-10,11951.94,12167.29,11736.59,12059.62,7915648
2014-09-11,12059.62,12167.29,11951.94,11951.94,4543288
